index,answer1,answer2,condition,label
4669,Banana,Citrus fruits,The name of the fruit.,4
4670,Living room fireplace,The center of the room,The living room fireplace.,5
4671,Furnished living room.,Room decor,The properties of room.,3
4672,Tennis,Tennis,The game being played.,5
4673,Tennis,Tennis,The activity.,3
4674,Five individuals,Three individuals.,People on the living room.,4
4675,Five people.,Three,The number of people.,3
4676,Car,Car,Type of vehicle.,5
4677,Dog,Cat,Type of animal.,3
4678,Dessert,Dessert,Type of meal.,5
4679,Chocolate,Mixed Berry,Flavor of dessert.,3
4680,Pickup Truck,On sale,The truck.,2
4681,Parking,Truck Sale Display,The activity.,2
4682,Line.waiting,Skiing.,The speed of the people.,2
4683,Anticipation,Excitement,The mood of the people.,1
4684,One,Two people,The number of people.,3
4685,Birthday celebration,Cake decorating,The activity of people.,2
4686,Technology usage,Duplication,The actions are same.,5
4687,Medium,Mini,The size of the laptop.,2
4688,White,Golden,The color of vessel.,1
4689,Vase,Tableware,The type of vessel.,1
4690,Bus,Bus,The type of vehicle.,5
4691,One vehicle,Two buses,The number of vehicle.,1
4692,Bedroom,Bedroom,Type of room.,5
4693,Striped.,Floral.,Pattern on the bedding.,2
4694,Baseball,Baseball,The type of sport.,5
4695,Game actions,Ball in Air,The motion of the players.,3
4696,Desk,Cat.,The object.,4
4697,Cat,Cat,The animal.,3
4698,Tennis,Tennis,The sport.,3
4699,One person.,Two people.,The number of people.,1
4700,Small,Large,The size of place.,5
4701,Home.,Living room,The place.,5
4702,Street,Restaurant,The name of the place.,3
4703,Several people,Crowded,The number of people.,3
4704,Doughnuts,Donuts,The name of the dishes.,4
4705,Doughnut factory,Doughnut shop,The name of the place.,2
4706,One lamp.,Two lamps.,The number of lamp.,4
4707,Bedroom,Bedroom,The name of the place.,4
4708,Tennis,Tennis,Type of sport.,5
4709,In front,Behind,Position of racket relative to player.,4
4710,Dessert.,Dessert,The food type.,5
4711,Many cakes.,Single piece,The quantity of food.,1
4712,Cat,Cat,The type of animal.,5
4713,Five objects,1,The number of objects.,3
4714,Cats,Cat,The animal.,4
4715,Lying Down,Sitting on flap,The body position.,2
4716,Baseball,Baseball,The game played.,5
4717,10,One.,The number of players.,3
4718,Blue,Yellow,The color of object.,3
4719,Transportation.,Bus waiting.,The activity of people.,2
4720,Two,Two animals.,The total number of animals.,5
4721,Two,Two animals,The number of different animals.,3
4722,Exploration.,Dental hygiene,The person's intention.,5
4723,Infant,Baby,The person's age.,3
4724,Agricultural product,Produce.,The type of consumer product.,5
4725,Vertically stacked,Fruit and vegetables on table,How the food is arranged.,4
4726,Bread and salad,Lunch items.,The type of food.,4
4727,Bread and salad.,"Sandwich, salad, drink",The food in table.,1
4728,Vases,Vase.,The container.,5
4729,Purple,Red,The color.,1
4730,Wall above chest of drawers.,Entertainment Area,The location of the books.,4
4731,Books,Movies and books,The type of educational materials.,2
4732,Space Shuttle Carrier,Airplane.,The name of the vehicle.,5
4733,Space Shuttle Endeavour.,Airplane,The name of the object.,4
4734,Small and cluttered.,Small,The size of the room.,5
4735,Kitchen,Kitchen,The location in the home.,3
4736,Elephant,Elephant,The animal.,3
4737,Boy,Unknown,The age of the person.,1
4738,Two animals,Two,The number of the animals.,5
4739,1,Two,The number of cats.,4
4740,Food preparation.,Mixing ingredients,The activity.,5
4741,Cut vegetables,"Carrots, spinach",The vegetables.,1
4742,Electronics.,Office electronics,The electronic objects.,5
4743,California,No flag.,The flag near desk.,3
4744,Bathroom,Bathroom,The place.,4
4745,Unavailable,White,The color of object.,2
4746,Skiing,Skiing,The name of the sport.,5
4747,Skiing uphill.,Climbing,The action of the skiers.,1
4748,Bathroom,Bathroom,The name of the room.,5
4749,Bathroom décor.,Bathroom,The type of show.,5
4750,Plumbing,Photography.,The type of work.,4
4751,One person,One,The number of person.,3
4752,Surfer,Surfer in Danger.,The man with surfboard.,5
4753,Beach Walking,Being overwhelmed,The action of man.,3
4754,Tray,Table Setting,The type of dinnerware used.,4
4755,Breakfast items.,Assorted Food,The food.,3
4756,Food_DISPLAY.,Condiments and utensils,The use of the objects.,4
4757,Bowl,Plate,The type of container used.,3
4758,Blue umbrella,Umbrellas,The assessory.,4
4759,Two,Four,The number of people.,1
4760,Cows,Cow,The type of animal.,2
4761,Many,Two animals.,The quantity of animal.,1
4762,Grazing,Grazing,The action animals.,4
4763,Two sheep.,One,The number of sheep.,4
4764,Fast food,Fast food combo,The way the food is eaten.,4
4765,Burger,Fast food,The type of food.,2
4766,Ultimate Frisbee,Frisbee Football,The type of sport.,4
4767,Two players,11 players,The number of players.,2
4768,Swinging at a pitch,Swinging bat,The players motion.,5
4769,Baseball,Baseball,The game being played.,3
4770,Snowy,Snowy,The weather.,4
4771,One indicator.,Two.,The number of indicators.,1
4772,Kitchen Appliances,Appliances,The name of the appliances.,5
4773,Kitchen,Kitchen,The name of the room.,5
4774,Kitchen,Kitchen,The name of the place.,4
4775,Kitchen appliances and utensils,Orange tea kettle.,The name of the things.,2
4776,Cats,Cats.,The animal.,5
4777,Multicolored,Tricolor,The color of animal.,4
4778,Three items,Three items,The number of food.,4
4779,"Sandwich, spinach, and apple.",Sandwich and chips,The food.,3
4780,Steak sandwich,Lunch,The type of meal.,5
4781,"Mushrooms, Onion Rings",Vegetables and chips,The type of sides.,2
4782,Carriage,Buggy,The type of vehicle.,2
4783,Four animals.,One,The number of animals.,2
4784,5 objects,Three items,The number of object.,3
4785,Unconventional seating,Bathroom,The place.,3
4786,Motorcycles & Small Vehicles,Motorcycles.,The means of traversal.,3
4787,Fast,Stopped,The rider's speed.,1
4788,White,Green and white.,The color of food.,5
4789,Cucumber hotdog bun,Sandwich on hot dog bun with green and white sauce.,The food.,3
4790,Side dish,Pizza,The dish.,4
4791,1,2 open boxes,The number of dish.,2
4792,Two,Two people,The number of people.,5
4793,Skiing,Skiing or Snowboarding,The sport being played.,4
4794,Electronic Device,Laptop,The laptop.,5
4795,High-tech bed,Couch,The bed.,3
4796,Bedroom with deck.,Bathroom,The name of the room.,5
4797,Residential,Bathroom,The type of usage.,4
4798,Cafeteria meal,Salad and pizza,The type of food.,4
4799,Apple Juice,Water,The type of beverage.,1
4800,Sheep,Sheep,The name of the animal.,3
4801,Four animals.,Two sheep,The number of animal.,2
4802,Mealtime,Mealtime,Time of day.,5
4803,Child,Toddler,Age of child.,4
4804,Television,Computer,The type of electronics.,3
4805,Chair,Black chair,The type of seat.,3
4806,Jet,Jet,The type of vehicle.,5
4807,One.,Two jets,The number of vehicles.,1
4808,Furniture,Sitting area décor.,The name of the object.,4
4809,Living room,Living room.,The name of the place.,4
4810,Tennis,Tennis,The game being played.,5
4811,Racquet ready.,Low position,The position of the racket.,3
4812,"Sandwich, soda",Combo meal.,The meal.,5
4813,Four objects,Three items.,The number of objects.,4
4814,Farmer,Farmer,The man.,3
4815,Harnessed horses.,"One horse, two cows.",The horses.,3
4816,Water Cooler,Kitchen appliances,The name of the  object.,5
4817,Living Room,Kitchen,The name of the place.,1
4818,Urban pedestrians.,Woman,Person walk in street.,5
4819,No color mentioned.,Tan,Color of umbrella.,4
4820,Traffic lights.,Pedestrian crossing.,Presence of traffic lights.,2
4821,Human-shaped light figure,Pedestrian crossing signal.,Presence of figure of a person light.,1
4822,Tennis,Tennis,The name of the game.,5
4823,Pink.,Blue,The color of the t-shirt.,1
4824,"Plate contents: Toasted sandwich, spinach, apple.",Food items.,The name of the things.,4
4825,Spinach and Apple Toasted Sandwich,Sandwich,The name of the dish.,3
4826,Red wine,Wine,The type of beverage.,5
4827,Blue and white,"White, green",The colors.,3
4828,Skateboarding,Skateboarding,The name of the game.,2
4829,Crowd,Three,The number of young men.,1
4830,Hot dog,Hot dogs,The type of meat.,5
4831,Waffle fries,French fries,The variety of potato.,4
4832,Dipping accompaniment,Support.,The bread's function.,4
4833,Sandwich,Seafood sandwich,The type of food.,4
4834,Motorcycle,Motorcycles,The type of transportation.,5
4835,One,Four men,The number of men.,3
4836,Two types,Two types,The amount of different vehicle types.,4
4837,Dirt road in a town.,Village street,The location of the vehicles.,3
4838,Indoor.,Bedroom,The location is inside.,5
4839,One person.,One,The number of people.,1
4840,Tray,Table.,What the food is on.,4
4841,Household Item,Food Products,The type of consumer good.,3
4842,Standing,Leaning,The person's posture.,5
4843,Appearance,Cell phone,The person's attention.,3
4844,Male,Male,The gender of the person.,5
4845,By the table,City,The location of the person.,3
4846,Roadway.,Cars,The mode of transportation.,5
4847,Stopped,Busy,The speed of the vehicles.,4
4848,Advertising,Aerobatic display,The name of the action.,3
4849,One,Several,The number of airplane.,1
4850,Two players,Multiple,The number of people.,4
4851,Ultimate Frisbee,Ultimate Frisbee,The game.,4
4852,Objects on a table.,Breakfast items.,The type of items.,3
4853,Items,Breakfast plate,The name of the product.,3
4854,Holding Umbrella,Walking in the rain,The activity of people.,4
4855,Umbrella Color: Unspecified,Black and white,The color of object.,3
4856,Donuts.,Pastry,The type of food.,5
4857,Two sugar donuts,One.,The quantity of food.,3
4858,Car,Car,The vehicle.,2
4859,Dog,Cow,The different animal.,1
4860,Living room,Living room.,The place.,5
4861,Description of furniture and decor.,Red,The color of object.,3
4862,Bathroom,Restroom,The room type.,5
4863,Neat and colorful.,Poor hygiene,The cleanliness of the room.,2
4864,Top of cake,Next to cake,Location of flowers.,4
4865,Cake,Cake,Type of dessert.,3
4866,Motorcycle,Motorcycle,The vehicle type.,2
4867,Roadside,Street,The location of the motorist.,1
4868,Table,Table,The type of the furniture.,3
4869,Two people.,One person,The number of people.,3
4870,Adorable bed.,Made,The bed.,5
4871,Bedtime with stuffed animals,Bed-making,The activity.,3
4872,Newsprint Wallpaper,Kitchen_view.,The view of house.,4
4873,Residential,Single-family home,The type of living house.,2
4874,Sandwich,Dessert sandwich,The type of food.,5
4875,"Meat, cheese, eggs",Donut sandwich with chocolate sauce,The ingredients for the food.,4
4876,"Sandwiches, Coke",Assorted,The dishes.,4
4877,Coke,Orange juice,The beverages.,3
4878,Chef,Sous Chef,The name of the person.,3
4879,Gravy,Sauce,The name of the object.,3
4880,Cycling,Surfing,The sport.,4
4881,Blue and orange,White,The color of object.,1
4882,Abandoned train.,Train track,The background.,2
4883,Rusty.,Background,The train.,1
4884,Cattle.,Cows,The type of animals.,3
4885,Separated by fence,Dirt road.,The location of the animals.,1
4886,Frisbee,Frisbee contest.,The name of the game.,4
4887,Frisbee playing,Frisbee game,The action of the persons.,1
4888,Two cups,One cup,Number of cups.,5
4889,Chocolate and fruit.,Bananas,Type of food.,2
4890,One.,One,The number of person.,5
4891,Female,Male,The type of gender.,4
4892,Bathtub,bathtub,What the cat is next to.,3
4893,One,Zero,Number of people.,3
4894,Bed,Furniture,The object.,5
4895,Three objects,4 items,The number of object.,3
4896,Cat,Cat,The animal.,4
4897,Table,On laptop keyboard.,The location.,2
4898,Two readers.,One.,The number of readers.,2
4899,Printed Media,Book,The medium of information.,1
4900,Grilling.,Smiling chef,The stage of preparation.,4
4901,Cooking,Happy,The person's intention.,3
4902,Skiing,Winter Olympics,The name of the game.,4
4903,Ski resort,Vancouver 2010,The name of the place.,2
4904,Motorcycle,Motorcycle,Type of vehicle.,3
4905,Red and black,Tan and green.,Color of vehicle.,3
4906,One dish,Plate with meal,The number of dish.,4
4907,Plate of food,Lunch plate,The object.,2
4908,Resting,Observing surroundings.,The cat is resting.,4
4909,Couch.,Beside a suitcase,The place of laying.,2
4910,Doubles tennis,Doubles tennis,The type of game of tennis being played.,5
4911,Tennis,Tennis,The type of sport.,5
4912,Sandwich and beets,Sandwich,The type of food.,5
4913,Three.,zero,The number of beverages.,4
4914,Pan,Kitchen items,The name of the object.,4
4915,Table,Kitchen,The place of the object.,2
4916,Bathroom,Bathroom Sink,The place of the object.,5
4917,Bathroom,Bathroom,The type of the place.,5
4918,TV,Bed,The device.,4
4919,TV stand,Bed,The furniture.,3
4920,Infrastructure maintenance,Emergency response,The type of work.,5
4921,Intersections.,Accident scene,The street.,5
4922,Tennis court.,Tennis court,Location.,5
4923,Tennis racket.,Tennis balls.,What the child is holding.,3
4924,Two boys.,One person.,The number of people.,5
4925,Pizza,Pizza,The name of food.,3
4926,Standing,Posing,The action of people.,3
4927,Skiers,Skiers,A group of people.,3
4928,One (1),One,The number of people.,5
4929,One,One,The number of the animal.,5
4930,Female.,Female,Gender.,4
4931,Four people.,One.,Number of people.,3
4932,Wood burning stove,TV,The name of device.,5
4933,Renovation,Home interior design.,The type of work.,2
4934,Bedding,Bedroom furniture,The type of product.,4
4935,Four items.,Several items,The number of items.,2
4936,Dessert setup,Decorative set-up,The table with plate.,4
4937,Dessert table,Formal dining table.,The type of table.,3
4938,Sitting with food.,Woman sitting with cat,The activity.,5
4939,Young woman.,Woman,The woman.,5
4940,Skateboarding.,Skateboarding,The sport.,5
4941,Balancing skateboard on crate.,Skateboarding,The activity of people.,3
4942,Organization,Organization,The reason for the objects being laid out.,4
4943,Floor,Couch,The surface the objects are laid upon.,4
4944,Four vegetables,Two types,The number of vegetable.,4
4945,Green beans,Broccoli,The vegetable.,3
4946,Arranging fruits.,Counting,The name of action.,5
4947,"Bananas, Apples, Orange","Oranges, apples, bananas",The name of fruits.,4
4948,Beach,Beach,The outdoor location.,5
4949,Group,Two individuals,The number of people.,1
4950,Two-tone bathroom,Bathroom with tub and shower.,The setting.,5
4951,Blue and white half-and-half.,Bathroom décor.,The decor.,4
4952,Stone patio,Cafe,The setting.,3
4953,Outdoor dining,Food display.,The reason for the objects gathered.,2
4954,Beach swimming.,Relaxing at the beach,The action of the people.,4
4955,Beach,Beach,The location of people.,3
4956,Bathroom,Bathroom,The room type.,5
4957,Modern Black and White,Fish-themed,The type of decorations.,4
4958,Tennis racket,Tennis racket,Sports equipment being used.,5
4959,Unknown,Boy,Age of person.,3
4960,Two sides,Four,The amount of sides of the sign.,4
4961,Road Signs,Intersection,Where the sign is located.,3
4962,Two trains.,Train,The train moving.,4
4963,Not mentioned.,Red,The color of train.,3
4964,Wood.,Wood,What the table is made out of.,4
4965,Appetizer,Mixed dish,Type of dish.,4
4966,Container,Melon and orange.,The bowl.,4
4967,Plums.,Fruits and pizza.,The all are eat.,4
4968,Vegetable noodle plate,Broccoli and other foods,The food.,5
4969,4 items,one plate,The number of dish.,3
4970,Kitchen,Kitchen,The name of the place.,4
4971,Appliance,Clock,The name of the object.,3
4972,Room Size,Medium to large.,The size of the building.,4
4973,Bedroom,Standard-Cds,The indoor room type.,3
4974,Red chair,On the table,The location of the animal.,4
4975,Cat,Cat,The type of animal.,4
4976,Skiing,Skiing,The type of the hobby.,5
4977,snowy slope,Ski lift,The background.,2
4978,Red,Not mentioned.,The color.,4
4979,Crowd,Many people.,The number of people.,2
4980,Skiing,Skiing,The hobby.,5
4981,One person.,Multiple,The number of people.,4
4982,Open concept,"Spacious, well-equipped.",The kitchen room.,3
4983,Open concept,Modern,The type of kitchen.,2
4984,Bathroom,Bathroom,The type of room.,2
4985,Sky-themed floor painting.,Bathroom fixtures,The decorations.,2
4986,Electronic devices.,Soda,The object.,4
4987,Two objects.,Three objects,The number of object.,1
4988,Unavailable,Red,The color of object.,5
4989,Crowded street,Fire hydrant.,The object.,4
4990,Cuddling,Resting,The motion of the animals.,3
4991,Orange,Dark colored,The color of the cats.,2
4992,"Pizza, beer, salad",Pizza,The food.,5
4993,"Pizza, beer, salad",Pizza,The objects.,4
4994,Tennis,Tennis,The name of the sport.,4
4995,Excited crowd,Observing Tennis Player,The view of crouwd.,4
4996,Baseball,Baseball.,The name of sport.,2
4997,Three individuals,Multiple,The number of people.,1
4998,Three giraffes,Three,The number of giraffes.,5
4999,Giraffe,Giraffe(s).,The name of the animal.,3
5000,Celebration,Birthday celebration.,The name of the function.,5
5001,Four,Four participants.,The number of person.,3
5002,Decorative objects,Furniture and windows.,Type of objects.,5
5003,Seating area,Room,The living room.,2
5004,Two,One sink,The quantity of objects.,3
5005,Men's restroom,Restroom,The room.,3
5006,Eating noodles,Receiving food,The motion of the child.,4
5007,Fork,Spoons and chopsticks.,The type of utencil.,2
5008,Tennis,Tennis.,The name of sport.,3
5009,Serving ball.,Boy jumping,The action of man.,2
5010,Timekeeping,Architecture,The type of work.,5
5011,Clock,Building with tower,The name of the device.,3
5012,One,One,The number of beds.,4
5013,On bed,On nightstand.,The location of the flowers.,1
5014,Bathroom Fixture,Hotel bathroom amenities,The name of the object.,4
5015,Bathroom.,Hotel,The name of the place.,3
5016,Wine,Wine,The type of drink.,5
5017,Two people.,Two people.,The number of people.,1
5018,"Bananas, baby carrots, tomatoes, cucumber","Cucumbers, zucchini, squash, peaches",Specific fruits and vegetables present.,4
5019,Table,Table,Type of surface.,3
5020,Cat,Cat,The animal.,5
5021,Purple,White,The color of animal.,4
5022,Green beans,Assorted vegetables,The vegetable.,3
5023,Three vegetables.,Four.,The number of vegetable.,1
5024,Not applicable,Big,The size of tree.,3
5025,Living Room,Christmas-themed,Teh type of room.,3
5026,Bathroom,Bathroom,The room type.,4
5027,One,Misunderstanding - There is no mention of frames in the sentence provided.,The number of frames.,2
5028,Bus,Double deck bus,The type of vehicle.,4
5029,One.,Unknown.,The number of people.,1
5030,Baseball player,Baseball field,The position of the players.,4
5031,Baseball,Baseball,The sport.,4
5032,Skateboarding,Skateboarding,The name of the game.,5
5033,Skate park,Wall,The name of the place.,3
5034,Kitchen.,Kitchen,The name of the place.,2
5035,Stove top,Apron,The name of the object.,2
5036,Kitten,Cat,The name of animal.,5
5037,Thirsty Kitten,Drinking effort.,The effort to drink.,2
5038,"Standing, facing the mirror",Mirror selfie,The position of the person.,3
5039,Brushing teeth,Capturing Selfie,The motion of the person.,2
5040,Car,Bus,A type of vehicle.,5
5041,Public and private vehicles.,"bus, double decker bus",The variety of vehicles.,4
5042,1,One person,The number of person.,5
5043,Hoverboard.,Skateboarding,The name of the game.,5
5044,One.,One,The number of people.,5
5045,Yellow,Object not specified.,The color of object.,2
5046,Kitchen,On a desk,The location.,4
5047,One person,One,The number of people.,1
5048,Two objects,One,The number of object.,2
5049,"""No passing zone""",Roundabout sign,The sign.,2
5050,Bed,Bed,The type of furniture.,4
5051,Single.,One,The number of people.,1
5052,Bathroom fixtures,Bathroom fixtures,The fixtures.,5
5053,Bathroom,Bathroom with tub and shower.,The room.,2
5054,"Brown, White and Black.",Various Colors,The color of the animal.,3
5055,7,Three,The number of the animal.,1
5056,Tomato and wine,Fruits and vegetables.,The food on the table.,3
5057,Wine glass and bottle.,Fruits,The objects next to the vegetables.,2
5058,Snowboarding,Snowboarding,The person's hobby.,5
5059,Young,Unknown,The person's age.,1
5060,Sandwich,Fruit and sandwich.,The type of food.,4
5061,Sandwich,Apple and sandwich,The name of the food.,4
5062,Trains,Train,The type of vehicle.,4
5063,Two.,One vehicle,The number of vehicles.,3
5064,Computer.,Mixed electronic devices,The type of electronic.,4
5065,Six Items,Four objects,The number of objects.,3
5066,Skiing,Motionless.,The speed of the men.,3
5067,Snow,Snow,The ground cover.,3
5068,Male,Male,Gender of person.,5
5069,Tennis attire.,Sportswear,Clothing being worn.,3
5070,Watching tennis.,Tennis,The activity of peopl.,5
5071,Tennis.,Tennis,The sport.,4
5072,Intersection,Crane,The name of the object.,4
5073,Intersection in Minneapolis,Location,The name of the place.,4
5074,Chocolate cake,Chocolate.,The type of cake.,3
5075,Star Wars-themed.,Cream Dab,The cake's decoration.,1
5076,Two people,Three people.,The number of people.,3
5077,Conversation,Focused,The sentiment of people.,1
5078,Gyro,Pizza,The type of food.,1
5079,"Meat, pita bread, veggies, cheese",Two slices,The number of food.,1
5080,Animal stillness,Calmness,The stillness of animals.,4
5081,Two species.,Four cats,The number of species.,2
5082,Computer,Laptop,The type of device in use.,4
5083,One.,Two devices.,The amount of devices present.,3
5084,One.,Five Objects,The number of object.,2
5085,Bathroom décor,Bathroom accessories,The name of the object.,1
5086,Indoor Activities,Umbrella walking,The activity of people.,4
5087,Distorted,Light Blue,The color of object.,4
5088,No nuts.,Assorted nuts,The type of nuts.,3
5089,Vegan donuts.,Donut display,The type of show.,3
5090,Surfboard,Surfboards.,The type of product being used.,4
5091,One person.,Several,The number of people present.,2
5092,Little,Child,The size of the person.,4
5093,Half-chewed cake,Eating a meal,The amount of food currently being ingested.,2
5094,Canine,Dog,The animal type.,4
5095,One.,1,The number of animals.,3
5096,Light meal,"""Hotdog meal""",The type of meal.,4
5097,"Two sandwiches, a drink, and two bananas.  
Quantitiy of food: 2 sandwiches, 1 drink, 2 bananas",Three hotdogs,The quantity of food.,2
5098,Purple flowers,Flowers,Type of plants.,5
5099,Vase,Wine glasses,Type of container holding the flowers.,2
5100,Elephants,Elephant,Type of animal.,2
5101,Two,2 elephants,Number of elephants.,2
5102,Kitchen,Kitchen,The type of location.,5
5103,Appliances,Kitchen items,The type of objects.,3
5104,On the bed,Hotel,The bed's location.,3
5105,Three items.,Two pillows,The amount of items on the bed.,2
5106,Skateboarding,Skateboarding,The name of the game.,4
5107,Skate Park,Skateboarding pool.,The name of the place.,2
5108,Buses,Buses,The type of transportation.,4
5109,Many buses.,Two,The number of buses.,1
5110,Plane,Airplane,The name of the vehicle.,4
5111,Navy Blue,Dark Gray,The color of the clouded sky.,1
5112,Bathroom,Bathroom,The type of home room.,5
5113,Sparse,Bathroom Features,The amount of things in the bathroom.,3
5114,Monochrome,Blue,The color.,3
5115,Skateboarding,Skateboarding,The sport.,2
5116,Winter sports,Snowboarding,The sport.,4
5117,Winter sports.,Snowboarding,The inclusion of a second sport.,1
5118,Lunch,Breakfast meal,Type of food time.,3
5119,Lunch,Breakfast Plate,Food for person.,2
5120,Female,Male,The person's gender.,4
5121,Clothing choice.,Dental hygiene.,The person's hygienic activity.,3
5122,Sleeping,Resting,The activity of animal.,5
5123,Cats,Cat,The animal.,4
5124,Food Color,Yellowish- Brown,The color of food.,4
5125,Hot dog,Bratwurst sandwiches and french fries,The dish.,3
5126,Table,Tools,The name of object.,3
5127,Table,Table,The name of the place.,2
5128,Female,female,The person's gender.,4
5129,One,Three people,The number of people.,2
5130,Skiing,Skiing,The sport.,3
5131,Unknown,Young,The age.,2
5132,Baseball,Baseball,The game played.,5
5133,At bat,Baseball Field,The closeness to the base.,1
5134,Three items,Three items,The number of object.,5
5135,Living room,Black-themed living room,The place.,4
5136,One Vehicle,Multiple vehicles,The number of the vehicles.,3
5137,Urban Area,Urban intersection,The type of place.,2
5138,Bathroom,Hotel,The name of the place.,5
5139,Shower curtain bunching.,Upgrade,The name of the action.,4
5140,Home,Home,The type of building.,4
5141,Living Room,Living room,The type of room.,1
5142,Squid kites.,Kites shaped like octopi and lizards.,The flying objects.,5
5143,Squid kites,Kites in the shape of octopi and lizards.,The variety of object types.,3
5144,Bird,Bird.,Type of animal.,5
5145,Floral.,Berry Bushes,Type of foliage.,4
5146,Crossing the street at night,City nightlife,The activity of the people.,4
5147,Night Crossing,Cityscape at Night.,The name of the session.,1
5148,Furniture and decor.,"Table, vase, binoculars",The name of the things.,5
5149,Three items,Three items.,The number of things.,3
5150,Donut.,Donuts,The type of food.,4
5151,Single.,Two people.,The number of people.,2
5152,Traffic signs,Traffic signs,Types of signs.,3
5153,multiple,Number of poles is one.,Number of poles.,2
5154,One plate,Two plates,The number of plates.,4
5155,Mexican cuisine,Sandwich and wrap,The type of food.,2
5156,Multiple amenities,"Bathroom with Toilet, Sink, and Tub/Shower.",The amount of features in the room.,5
5157,One.,One sink.,The number of sinks.,5
5158,Steep,Steep.,Size of slope.,5
5159,Skiing,Skiing,Type of activity.,2
5160,Building facade,Clock tower,The objects location.,5
5161,Wall clock,Clock Tower,The type of object.,4
5162,Giant pizza.,Pizza pies,The food involved.,5
5163,One pizza.,Two,The number of pizzas.,4
5164,Pen,Pencil,Writing utensils present.,3
5165,Electronic devices,Absence,Presence of electronics.,2
5166,Brown.,Tan,The color of object.,4
5167,TV,Entertainment setup,The obect.,2
5168,Adjacent to dining room,Modern and organized.,The kitchen.,5
5169,Many,3 items,The number of object.,1
5170,Toilet seat,Bathroom,The place.,4
5171,White,White,The color of object.,2
5172,Refrigerator next to machine box with bottle,Kitchen,The kitchen.,4
5173,Food preparation.,Cooking.,The activity.,4
5174,Baked Goods,Deli products,The name of the object.,5
5175,Bakery,Deli.,The name of the place.,3
5176,Two people.,Two people.,The number of people.,5
5177,Sitting,Informal eating,The body posture.,3
5178,Water.,Pool,What the people are in.,4
5179,Close to water,In the water.,The relative location of the people to the water.,1
5180,Directional signage,Clarity in instruction,The method of instruction.,4
5181,Intersection signage,Confusing signs and temperature gauge,The location of signs.,3
5182,Sandy Beach,Beach,The name of the place.,3
5183,Two people,Five,The number of people.,2
5184,One plate,One plate.  ,The number of plates.,5
5185,Edible,Burger,The objects are edible.,5
5186,Bathroom,White-dominated.,The place bathroom.,2
5187,Yellow,White,The color of bathroom products.,1
5188,Workspace,Storage,The surface's purpose.,5
5189,Workplace essentials,Desk supplies and hiking gear,The objects on the table.,1
5190,"Sandwich, pickles, hotdogs, fries",Burger and diet root beer,The type of food items.,4
5191,"Sandwich, pickles, hotdogs, French fries",Burger and root beer.,The food items.,2
5192,Water Play,Transportation.,The type of work.,4
5193,Elephant,Elephant.,The type of animal.,3
5194,Birthday cake,Cake,The name of dish.,4
5195,Three.,Two,The number of young kids.,4
5196,Skateboarding,Skateboarding.,The sport.,2
5197,One person.,One person.,The number of people.,2
5198,One.,One person,The number of people.,5
5199,Tennis,Tennis,The name of gaeme.,3
5200,Airplane,Airplane,The passenger flying.,4
5201,Landing.,Takeoff,The action of plane.,3
5202,Elephants,Elephant,The name of the animal.,5
5203,Elephants,Two,The number of animal.,4
5204,Unspecified,Unknown,The name of the person.,3
5205,Eating while using phone.,Eating cake,The activity of the person.,2
5206,Lunch Items,Sandwich,The name of the food.,5
5207,Variety of food.,Sandwich,The type of food.,2
5208,Seafood and spinach rice dish with oranges.,Picnic spread,The dish.,4
5209,Four dishes,Nine dishes,The number of dish.,3
5210,Fast food,Hot dog,The type of food.,5
5211,"Five hotdogs, cheese fries",One hot dog.,The quantity of food.,1
5212,Bathroom,Bathroom,The indoor location.,4
5213,Items' weight,Not specified.,The items weight.,3
5214,Orange and tan,Stone Gray.,The name of the color.,2
5215,Clock,Clock.,The name of the device.,1
5216,Vegetarian,Multiple dishes,The type of food.,2
5217,One plate,Two,The number of plates.,1
5218,Cheese,Fried egg.,The type of the supplementary food.,4
5219,Plate,Plate,The type of food container.,3
5220,Miscellaneous Items,Minimalist,The decor in the room.,5
5221,Makeshift Bedroom,Budget accommodation,The type of room.,4
5222,Twin-sized bed,Medium to large,The size of object.,4
5223,Bed,Antique ambiance,The object.,4
5224,Collection,Multitasking.,The activity of the object.,4
5225,Antique Objects.,Setup,The name of the object.,3
5226,Two city buses,Double decker,The bus.,4
5227,Two city buses,Unknown,The city.,3
5228,Sitting,Licking window,The action of the animal.,5
5229,Dog,Dog,The name of the animal.,3
5230,Snowboarding,Skiing,The type of sport.,4
5231,Downhill speed,Skiing.,The speed of the skier.,1
5232,Busy Street,Cars.,The street road.,3
5233,Busy Street,Residential street.,The type of street.,2
5234,Electronic devices,Computer and monitor.,The type of objects.,4
5235,Electronic products.,Computer and monitor,The electronic products.,2
5236,Sitting,Stationary,The speed of the person.,3
5237,Couch,Chair,What the person is sitting on.,3
5238,Tennis playing.,Tennis,The activity of player.,2
5239,Tennis,Tennis,The name of sport.,2
5240,Dog,Dog,The type of animal.,5
5241,Reflection,Mirror,The type of reflection.,2
5242,Far right.,Cluttered,The closeness of walls.,4
5243,Two people.,One person.,The number of people.,3
5244,Carrots,Broccoli,The type of vegetable.,3
5245,Not applicable,Brown,The color of cane.,2
5246,Table setting,Items on plate,The name of the things.,5
5247,Dining table.,Plate with pastry cocktail,The place of the things.,4
5248,Boat,Boat,The type of transportation.,5
