text,condition,label,score
They also have a longer service life than other computers -LRB- I have several friends who still use the older Apple PowerBooks -RRB- .,service life,Positive,2
"As a computer science student in college , I find that the portability , longevity , and ease of use of this computer make me -LRB- shockingly -RRB- want to do homework more ;",portability,Positive,2
"The screen takes some getting use to , because it is smaller than the laptop .",screen,Negative,0
The processor is very quick and effective as I load webpages and applications .,processor,Positive,2
It is easy to use and lightweight .,use,Positive,2
10 hours of battery life is really something else ...,battery life,Positive,2
"Also , if you need to talk to a representive at Microsoft , there is a charge , which I believe is robbery , since you are charged enormous amounts for a very badly designed system , which most people would have went with XP if they could .",system,Negative,0
"Fan vents to the side , so no cooling pad needed , great feature !",Fan,Positive,2
The one thing I wish it had was a detailed hardcopy manuel .,hardcopy manuel,Negative,0
"It works great for general internet use , Microsoft Office apps , home bookkeeping , etc. .",Microsoft Office apps,Positive,2
The laptop is outstanding in all aspects except that it has the Windows 7 starter and not the full Windows 7 .,Windows 7 starter,Negative,0
"When I called Toshiba , they would not do anything and even tried to charge me $ 35 for the phone call , even though they did n't offer any technical support .",technical support,Negative,0
"Also , if you need to talk to a representive at Microsoft , there is a charge , which I believe is robbery , since you are charged enormous amounts for a very badly designed system , which most people would have went with XP if they could .",XP,Positive,2
"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .",battery life,Positive,2
"There are several programs for school or office use -LRB- Pages , Numbers , Keynote , etc. -RRB- , music -LRB- Garageband -RRB- , photo management -LRB- Photo Booth , iPhoto -RRB- , video-editing or movie-making -LRB- iMovie -RRB- , etc. .",iPhoto,Neutral,1
"oh yeah , and if the fancy webcam breaks guess who you have to send it to to get it fixed ?",webcam,Negative,0
My ONLY issues are : 1 -RRB- the screen/video resolution wo n't increase to a higher resolution then 1024 x 6Negative,screen/video resolution,Negative,0
Summary : They played games with me for the warranty period .,warranty period,Negative,0
They should have included more memory on their computers if they knew Vista would run slowly .,Vista,Negative,0
"It has far exceeded my expectations for power , storage , and abilitiy .",storage,Positive,2
I just plug this into my 22 '' Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core .,dual-core,Neutral,1
"This laptop looks great on the surface : 17 '' inch screen , good price-point , nice appearance , boots up quickly , runs fast etc. .",appearance,Positive,2
"After 2 months of complaints , Asus finally sent the right power supply to my techies .",power supply,Neutral,1
It did n't take me long to get switched over to the Mac computer programs and navigation - it 's been just fine and like the way this laptop functions much better .,programs,Positive,2
Runs fast and the regular layout keyboard is so much better .,Runs,Positive,2
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it .,safari,Negative,0
They say that this will invalidate the warranty on the hard drive -LRB- I do n't really understand why but anyway -RRB- .,hard drive,Neutral,1
Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance -LRB- 2.3 GHz v/s 2.4 GHz -RRB- .,performance,Neutral,1
"Waiting for the i7 was well worth it , great value for the price .",i7,Positive,2
Now the machine wo n't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I 'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook .,connection card,Neutral,1
The only thing I can imagine is that Sony jumped on early specifications for Vista requirements from Microsoft and designed it to those inadequate requirements .,Vista,Negative,0
It doesnt work worth a damn .,work,Negative,0
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team , which is the retail shop which I bought my netbook from .","""sales"" team",Negative,0
", Applications respond immediately -LRB- not like the tired MS applications -RRB- .",Applications,Positive,2
This computer had exactly the specifications I needed .,specifications,Positive,2
When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem .,warranty,Neutral,1
"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",quality,Positive,2
When I called Sony the Customer Service was Great .,Customer Service,Positive,2
Laptop is advertised as a 15 '' but the casing looks like that of a 17 '' .,casing,Negative,0
"I have no idea how to burn cd's or to use the web cam , just for starters .",burn cd's,Neutral,1
"Of course , I also have several great software packages that came for free including iWork , GarageBand , and iMovie .",GarageBand,Positive,2
the mouse jumps around all the time and it clicks stuff i dont want it too .,mouse,Negative,0
The screen shows great colors .,colors,Positive,2
The AMD Turin processor seems to always perform so much better than Intel .,Intel,Negative,0
"Good keyboard , long battery life , largest hard drive and windows 7 .",battery life,Positive,2
And the screen on this thing is absolutely amazing for high quality videos and movies and gaming .,screen,Positive,2
EITHER THE COMPUTER IS TOO SLOW TO DETECT THE KEYS TYPED -LRB- THIS IS UNLIKELY AS I AM A SLOW TYPIST -RRB- OR THE KEYBOARD SIMPLY DOES NOT DETECT THE KEYS BEING TYPED .,KEYS,Negative,0
"For me , keys were starting to get stuck and would n't type very well .",keys,Negative,0
"The ATI graphics card is a huge plus , definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with , such as Half-Life 2 or even World of Warcraft .",Intel built-in card,Positive,2
"I was originally concerned that I could n't view work I had done in college on my Mac because of the PC formatting , but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs .",iLife,Positive,2
"Startup in about 30 seconds , shutdown in 2-4 seconds , resume from sleep in 0-2 seconds .",shutdown,Neutral,1
"All apple associates are always wiling to help you out with anything , no matter when you purchased the computer and how many years passed .",apple associates,Positive,2
It seems they could have updated XP and done without creating Vista .,XP,Positive,2
"Again , the same problem , the right speaker did not work .",right speaker,Negative,0
The Toshiba Satellite has been more than I expected for the price .,price,Positive,2
It gives me the power and speed that I need to run all the programs I use to edit .,power,Positive,2
"I think part of the problem with this computer is Vista , yet I know Vista is n't the entire issue because my latest purchase was my Acer and it also has Vista -LRB- I should have waited the few months to get the next operating system -RRB- .",Vista,Negative,0
"I also purchased iWork to go with it which has programs for word processing , spreadsheets , and presentations -LRB- similar to Microsoft Office -RRB- .",presentations,Neutral,1
Adjust the sensitivity since it 's not that responsive to begin with .,sensitivity,Negative,0
"We have had numerous problems with Vista , such as Adobe Flash player just quits and has to be uninstalled and then reinsalled , Internet Explore just quits and you lose whatever you were working on , also , the same Windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .",Windows update,Negative,0
-LRB- The SATA controller is the motherboard chip that lets the CPU talk to the hard drive . -RRB-,SATA controller,Neutral,1
It is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on PC 's .,virus protection,Positive,2
"I noticed windows has a new system called Windows 7 , what about us Vista users ? They should get all the bugs out of Vista before investing in a new system .",windows,Neutral,1
i also love having the extra calculator number set up on the keyboard which most laptops do not have .,keyboard,Positive,2
"Screen is awesome , battery life is good .",Screen,Positive,2
Every driver on the drivers/applications DVD is everything you will need for a reload .,driver,Positive,2
After replacing the hard drive the battery stopped working -LRB- 3 months of use -RRB- which was frustrating .,hard drive,Neutral,1
"Of course , I also have several great software packages that came for free including iWork , GarageBand , and iMovie .",iWork,Positive,2
The programs that come standard with the Leopard running system are enough for the average person to run all the basics .,programs,Positive,2
I previously purchased a 13 '' macbook -LRB- had pro specs and was aluminum style -RRB- which had a nvidia 9800 -LRB- If I am not mistaken -RRB- and it had major heating issues .,aluminum style,Positive,2
Speakers does n't sound that great .,Speakers,Negative,0
"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again , everything from programs and drivers failing again , to it powering off for no reason , to locking up and freezing and just all sorts of issues .",drivers,Negative,0
"Still under warrenty so called Toshiba , no help at all .",warrenty,Negative,0
"In the shop , these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it , get it home , break the seal and use it -LRB- very clever con -RRB- .",edge,Negative,0
"While most people say that PCs hold functionality and value and Macs are just pretty to look at , I think there 's something to be said about the simplicity of Macs .",look,Positive,2
"It had a cooling system malfunction after 10 minutes of general use , and would not move past this error .",cooling system,Negative,0
"There are several programs for school or office use -LRB- Pages , Numbers , Keynote , etc. -RRB- , music -LRB- Garageband -RRB- , photo management -LRB- Photo Booth , iPhoto -RRB- , video-editing or movie-making -LRB- iMovie -RRB- , etc. .",music,Neutral,1
"-LRB- If you ever see the spinning beachball come up when you think it should n't , check the `` Activity Monitor '' app to see if the disk throughput has temporarily dropped to zero .",disk throughput,Neutral,1
The touch pad is among the best .,touch pad,Positive,2
Purchased a Toshiba Lap top it worked good until just after the warrenty went out .,warrenty,Negative,0
"u can do what u want in just few seconds , even to start up your computer takes few seconds .",start up,Positive,2
"I love the feel of the key board , as well as the trackpad .",trackpad,Positive,2
The layout of the MacBook is horrible and confusing ;,layout,Negative,0
Ease of use is just one of the benefits I love about my Mac .,use,Positive,2
Not too much `` junk '' software to remove .,software,Positive,2
"Finally , I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time .",2GB RAM stick,Neutral,1
I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen .,screen,Neutral,1
"It is easy to use , its keyboard easily accommodates large hands , and its weight is fantasic .",weight,Positive,2
Quality Display I was surprised with the performance and quality of this HP Laptop .,quality,Positive,2
"They offer the best warranty in the business , and do n't 3rd party it out like Toshiba .",warranty,Positive,2
This is a great little computer for the price .,price,Positive,2
"With awesome graphics and assuring security , it 's perfect !",security,Positive,2
"the features are great , the only thing it needs is better speakers .",features,Positive,2
"I love its solid build , light wt and excellent battery life -LRB- for now -RRB- .",wt,Positive,2
The only downfall is the volume control .,volume control,Negative,0
"If internet connectivity is important I would recommend going with a dell net book for 50 bucks more , or buy a USB wireless card .",internet connectivity,Neutral,1
Again I sent it back and they replaced the motherboard and some fan inside .,fan,Neutral,1
"Screen , keyboard , and mouse : If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen , responsive island backlit keyboard , and fun multi-touch mouse is worth the extra money to me alone .",mouse,Neutral,1
"I actually had the hard drive replaced twice , the mother board once , the dvd drive twice , then they FINALLY agreed to replace it , -LRB- ALL OF THIS IN LESS THAN 1 1/2 YEARS !",dvd drive,Negative,0
"The operating system and user interface is very intuitive , and the large multi-touch track pad is amazing .",user interface,Positive,2
This was the 3rd day and part still had not been shipped .,shipped,Negative,0
I was disappointed when I realized that the keyboard does n't light up on this model .,keyboard,Negative,0
The first one sent : Touchpad did n't work The second sent : USB did n't work The third sent : Touchpad did n't work The fourth sent : Has n't arrived yet .,USB,Negative,0
"- When battery life went to 4 hours or less , took it to the MacHouse Amsterdam for repair -LRB- 26th of August -RRB- .",battery life,Negative,0
"If a website ever freezes -LRB- which is rare -RRB- , its really easy to force quit .",force quit,Positive,2
"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary -LRB- unless you 're gaming -RRB- .",external mouse,Neutral,1
"With all the programs that came with it , such as iLife and iWork , I was set from the very beginning .",programs,Neutral,1
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed , etc. .",speed,Negative,0
"I run Dreamweaver , Final Cut Pro 7 , Photoshop , Safari , Firefox , MSN Messenger and a few other applications constantly at the same time .",applications,Neutral,1
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files .,windows,Negative,0
I was taught to use Photoshop and was amazed .,Photoshop,Positive,2
This computer does n't do that well with certain games it ca n't play some and it becomes too hot while playing games .,games,Negative,0
My problem was with DELL Customer Service .,DELL Customer Service,Negative,0
"I know there are way better laptops out there for the same price , and why spend money on shit when you can go out and get yourself a perfectly decent laptop that doesnt suck total monkey balls .",price,Neutral,1
The black model also has a very nice seamless appearance - one of the better looking notebooks I 've seen .,appearance,Positive,2
"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",applications,Positive,2
Sony parts reliability and quality of service is recenlty the worst .,service,Negative,0
It was super easy to set up and Is really easy to get used to .,set up,Positive,2
Connecting to my wireless router via built-in wireless took no time at all .,built-in wireless,Positive,2
"iTunes is a handy music-management program , and it is essential for anyone with an iPod .",iTunes,Positive,2
but now i have realized its a problem with this brand .,brand,Negative,0
"I love the size , keyboard , the functions .",functions,Positive,2
"And if you do a lot of writing , editing is a problem since there is no forward delete key .",editing,Negative,0
Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again .,Tech support,Positive,2
"I hope to edit this in the next few hours , I am going to try to install my own copy of Windows 7 .",Windows 7,Neutral,1
Additional caveat : the base installation comes with some Toshiba-specific software that may or may not be to a user 's liking .,software,Negative,0
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid , -LRB- mind you this was my means of communication with my fiance who was deployed -RRB- but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out .",cam,Negative,0
What I 'd like is for the laptop to run well without having to purchase additional memory .,run,Neutral,1
"Great product , very easy to use and great graphics .",graphics,Positive,2
"Of course , for a student , weight is always an issue .",weight,Neutral,1
"-LRB- I had been a Windows/Linux user before this -RRB- I love the size because the screen is big enough for what I use it for -LRB- Internet , artwork -RRB- , and yet it is small enough to be reasonably portable .",size,Positive,2
It took Toshiba tech support 4 calls and 4 different techs to correct the problem .,Toshiba tech support,Negative,0
Summary : HP knew they were shipping out bad BIOS and did nothing proactive to resolve it .,BIOS,Negative,0
The Material this Pro is made out of seems a lot nicer than any PC Specs : Like I said this performs a lot better than any computer I 've had in the past .,Specs,Negative,0
when i first got it i thought the size of it was a joke .,size,Negative,0
the programs are esay to use and are quick to process this computer works like a charm .,programs,Positive,2
The service I received from Toshiba went above and beyond the call of duty .,service,Positive,2
The screen is very large and crystal clear with amazing colors and resolution .,resolution,Positive,2
I will never go back to Windows !,Windows,Negative,0
"The battery life was supposed to be 6 hours , but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours .",battery life,Negative,0
"The difference in the Apple keyboard from a PC 's keyboard took a bit of tim to get used to , but overall it 's worth it !",Apple keyboard,Neutral,1
"There are several programs for school or office use -LRB- Pages , Numbers , Keynote , etc. -RRB- , music -LRB- Garageband -RRB- , photo management -LRB- Photo Booth , iPhoto -RRB- , video-editing or movie-making -LRB- iMovie -RRB- , etc. .",video-editing,Neutral,1
"The battery life was supposed to be 6 hours , but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours .",battery,Neutral,1
"Wireless has not been a issue for me , like some others have meantioned .",Wireless,Positive,2
"The rep did not even answer my question , I had to ask him , if he understood what I ask or if he spoke english because he did n't even try to acknowledge my question .",rep,Negative,0
"It is easy to use , good quality and good price .",price,Positive,2
BUT there 's this application called Boot Camp which allows you to add another OS X like Windows .,application,Neutral,1
I had to pay for the shipping !,shipping,Negative,0
Spent 2 hours on phone with HP Technical Support .,HP Technical Support,Neutral,1
"This laptop looks great on the surface : 17 '' inch screen , good price-point , nice appearance , boots up quickly , runs fast etc. .",boots up,Positive,2
"Then , within 5 months , the charger crapped out on me .",charger,Negative,0
Keyboard good sized and wasy to use .,Keyboard,Positive,2
"The internet was locekd and froze every time it was trying to be used , and the command prompt would not work at all .",command prompt,Negative,0
"Great laptop for school , easy to use for beginners in the household .",use,Positive,2
I like how the Mac OS is so simple and easy to use .,Mac OS,Positive,2
"I would rate this computer at 5 stars , but considering it has a short life span I can only give it 1 and implore anyone looking at laptops to stay away from this machine .",life span,Negative,0
None of the techs at HP knew what they were doing .,techs at HP,Negative,0
Hard disk - The new editions gives you more hard disk space -LRB- 500GB instead of 320GB -RRB- but time has taught me never to trust an internal hard disk .,hard disk space,Positive,2
"The pro is a great product , I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge -LRB- the edges hurt my wrists -RRB- .",edge,Negative,0
- Computer crashed frequently and battery life decreased very quickly .,battery life,Negative,0
"All the programs are easy and straight forward on my MacBook Pro , it is clean and organized , which I always strive to be myself .",programs,Positive,2
I dislike the quality and the placement of the speakers .,speakers,Negative,0
Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome .,wall charger,Neutral,1
Its ease of use and the top service from Apple - be it their phone assistance or bellying up to the genius bar - can not be beat .,genius bar,Positive,2
I love the operating system and the preloaded software .,preloaded software,Positive,2
Going to bring it to service today .,service,Neutral,1
I 've been impressed with the battery life and the performance for such a small amount of memory .,memory,Negative,0
"I would recommend this computer to anyone searching for the perfect laptop , and the battery life is amazing .",battery life,Positive,2
"In desparation , I called their Customer Service number and was told that my warranty had expired -LRB- 2 days old -RRB- and that the priviledge of talking to a technician would cost me -LRB- `` have your credit card ready '' -RRB- .",warranty,Negative,0
"Reason why ? It 's because when you buy it , you know first thing that you will not lose any value for that laptop , the price will stay the same for the next year , and even if Apple does decides to change mode , your laptop value will only drop 10-20 % , unlike PC laptops which drop more than 80 % .",value,Positive,2
Amazing Quality !,Quality,Positive,2
"Summary : I 've had this laptop for 2 months , out of the blue the power adapter stops working .",power adapter,Negative,0
It has just enough RAM to run smoothly and enough memory to satisfy my needs .,RAM,Positive,2
"We also use Paralles so we can run virtual machines of Windows XP Professional , Windows 7 Home Premium , Windows Server Enterprise 2003 , and Windows Server 2008 Enterprise .",Windows 7 Home Premium,Neutral,1
System is loosing about 20 % of performance because of that .,System,Negative,0
Another thing I might add is the battery life is excellent .,battery life,Positive,2
"Also , if you need to talk to a representive at Microsoft , there is a charge , which I believe is robbery , since you are charged enormous amounts for a very badly designed system , which most people would have went with XP if they could .",representive at Microsoft,Negative,0
"Good keyboard , long battery life , largest hard drive and windows 7 .",hard drive,Positive,2
"-LRB- I had been a Windows / Linux user before this -RRB- I love the size because the screen is big enough for what I use it for -LRB- Internet , artwork -RRB- , and yet it is small enough to be reasonably portable .",Linux,Neutral,1
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard .,motherboard,Negative,0
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program .,VMWare program,Neutral,1
"After way too many times sending the thing in for repairs -LRB- delivery service was slow , and without the laptop I had no access to the internet , and thus no way of tracking it to find out when I might hope to see my computer again -RRB- , it finally kicked the bucket after just over 2 years .",delivery service,Negative,0
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction .,cords,Negative,0
The screen shows great colors .,screen,Positive,2
Everything from the design to the OS is simple and to the point .,design,Positive,2
2 . The wireless card is low quality .,wireless card,Negative,0
"I use iphoto all the time , which is a great program for anyone who is into photography - amateurs and experts alike .",program,Positive,2
"BEST BUY - 5 STARS + + + -LRB- sales , service , respect for old men who are n't familiar with the technology -RRB- DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",DELL SUPPORT,Positive,2
"The tech store I purchased this from sent it back , , , , , eventually I got a new or repaired machine approximately 3 weeks later .",tech store,Negative,0
"Screen , keyboard , and mouse : If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen , responsive island backlit keyboard , and fun multi-touch mouse is worth the extra money to me alone .",keyboard,Neutral,1
"I am overall very pleased with my toshiba satellite , I like the extra features , I love the windows 7 home premium .",windows 7 home premium,Positive,2
Now the machine wo n't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I 'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook .,warranty,Negative,0
It made the computer much easier to use and navigate .,navigate,Positive,2
"Apparently there is a manufacturing defect , something with the amount of thermal paste .",thermal paste,Negative,0
iLife is easily compatible with Microsoft Office so you can send and receive files from a PC .,iLife,Positive,2
I am using the external speaker - sound is good .,external speaker,Positive,2
I would tell the technician I knew exactly what was wrong with it but they did not listen and I had to go through a bunch of junk to get them to tell me I needed to send the computer in .,technician,Negative,0
Its a good laptop for its value .,value,Positive,2
"I paid for extra memory and the 17-inch screen , as well as the top of the line DVD and CD burners .",memory,Neutral,1
"PC users work in Word , while Mac users work in Pages .",Word,Neutral,1
The feel of this machine compared to the old MacBook is far superior .,feel,Positive,2
"Everything is so easy to use , Mac software is just so much simpler than Microsoft software .",Mac software,Positive,2
"The price premium is a little much , but when you start looking at the features it is worth the added cash .",price premium,Negative,0
"The system it comes with does not work properly , so when trying to fix the problems with it it started not working at all .",system,Negative,0
"Even with virus protection , it always turned off when updates were needed and installed .",virus protection,Negative,0
"After a couple of years , my battery life began to diminish but was replaced for free due to a company-wide recall of my particular battery .",battery,Negative,0
The shop will definitely push the problem to the service center .,service center,Neutral,1
Do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop .,external harddrives,Negative,0
It also does not have bluetooth .,bluetooth,Negative,0
"Love the graphics , awesome programs -LRB- including Garageband -RRB- , and really cool default background .",graphics,Positive,2
"- Bluetooth -LRB- 2.1 -RRB- , Fingerprint Reader , Full 1920x1080 screen - Integrated Mic/Webcam * - Dual touchpad mode is interesting , and easy to use -5 USB ports - Runs about 38-41C on idle , Up to 65 -LRB- for me -RRB- on load - Very quiet - I could go on and on .",Runs,Positive,2
"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor -LRB- such as works for windows -RRB- , but iwork is cheap compared to office .",office,Negative,0
The large screen gives you the option to comfortably watch movies or TV shows on your computer instead of buying an additional TV for your dorm room .,screen,Positive,2
"Though the picture , video , and music software is nowhere close to professional grade software Im used to -LRB- CS5 -RRB- but does the job for beginner and even intermediate media designers .",picture,Negative,0
The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard .,speakers,Negative,0
"Once open , the leading edge is razor sharp .",leading edge,Negative,0
"Size : I know 13 is small -LRB- especially for a desktop replacement -RRB- but with an external monitor , who cares .",Size,Negative,0
-LRB- The SATA controller is the motherboard chip that lets the CPU talk to the hard drive . -RRB-,hard drive,Neutral,1
Runs Hot I thought we were paying for quality in our decision to buy an Apple product .,quality,Negative,0
"Love the graphics , awesome programs -LRB- including Garageband -RRB- , and really cool default background .",default background,Positive,2
The sheer power and flexibility makes the MacBook Pro a must have for any techie !,power,Positive,2
"Acer has set me up with FREE recovery discs , when they are available since I asked .",recovery discs,Positive,2
Microsoft word was not on it andI had to buy it seperately .,Microsoft word,Negative,0
I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well .,programs,Positive,2
Really like the textured surface which shows no fingerprints .,surface,Positive,2
"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home , and it runs just fine .",Windows 7 Starter,Neutral,1
"We also use Paralles so we can run virtual machines of Windows XP Professional , Windows 7 Home Premium , Windows Server Enterprise 2003 , and Windows Server 2008 Enterprise .",Windows Server Enterprise 2003,Neutral,1
I love the glass touchpad .,glass touchpad,Positive,2
"Externally the keys on my keyboard are falling off , after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit , and the screen has a terrible glare .",keyboard,Negative,0
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed .,software,Neutral,1
"I upgraded it 's RAM to 2GB , I am very happy with it .",RAM,Positive,2
The first one sent : Touchpad did n't work The second sent : USB did n't work The third sent : Touchpad did n't work The fourth sent : Has n't arrived yet .,Touchpad,Negative,0
The Aspire wont even boot past the Acer screen with a Droid -LRB- I have tried both Motorola and HTC -RRB- plugged into the USB port .,USB port,Negative,0
"In fact , somehow -LRB- and I never opened it up -RRB- some specks of dust or something got inside the screen and are now there permanently , behind the front of the screen , in the way of the display .",display,Negative,0
"However , my girlfriend realized that the netbook 's hinge is a bit loose -LRB- when you open or close the LCD -RRB- .",hinge,Negative,0
"This laptop looks great on the surface : 17 '' inch screen , good price-point , nice appearance , boots up quickly , runs fast etc. .",runs,Positive,2
"While it was highly rated , would I like it ? I tried the keyboard at the store , and it seemed ok .",keyboard,Neutral,1
I charge it at night and skip taking the cord with me because of the good battery life .,cord,Neutral,1
"Its fast , has High definition quality in the videos .",High definition quality,Positive,2
Keyboard could use some trimming .,Keyboard,Negative,0
The letter A stopped working after the first week .,letter A,Negative,0
"I bought it for my mom and she reports that the battery life lasts all day for her , it 's very lightweight , and the response for the computing she 's doing -LRB- Internet focused activity : mail , research , etc. -RRB- is excellent ;",response,Positive,2
"It 's so much easier to navigate through the operating system , to find files , and it runs a lot faster !",runs,Positive,2
The programs that come standard with the Leopard running system are enough for the average person to run all the basics .,Leopard running system,Neutral,1
The laptop is outstanding in all aspects except that it has the Windows 7 starter and not the full Windows 7 .,Windows 7,Positive,2
Great wifi too .,wifi,Positive,2
"We love the size of the screen , although it is still lightweight and very easy to tote around .",size of the screen,Positive,2
Wonderful sleek case design is only on the outside .,case design,Positive,2
"Needs Power and Mouse Cable to Plug in back instead of side , In the way of operating a mouse in small area .",Mouse Cable,Negative,0
A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE .,SERVICE,Negative,0
"The ATI graphics card is a huge plus , definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with , such as Half-Life 2 or even World of Warcraft .",games,Neutral,1
My one complaint with this laptop is that I 've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in .,headphone jack,Negative,0
I bought this laptop because of the performance to price ratio .,price,Positive,2
"The battery never held a charge longer than one hour and within two months , stopped holding a charge for more than ten minutes .",charge,Negative,0
"Have not yet needed any customer support with this yet so to me that is a great thing , which is leaps and bounds ahead of PC in my opinion .",customer support,Positive,2
"This is likely due to poor grounding and isolation between the components , and I 'm hoping that it can be fixed with a ground loop isolator , but I still expected better product quality for this price range .",ground loop isolator,Neutral,1
OS X is solid with lots of innovations such as quicklook which save heaps of time .,OS X,Positive,2
"Apparently under the screen there are 2 little screws and when the screen gets moved back and forth , they come loose .",screen,Neutral,1
"Everything is so easy to use , Mac software is just so much simpler than Microsoft software .",use,Positive,2
"Also , one of the users mentioned how the edges on the macbook is sharp , if you have money to spend on one of the incase shells , it does n't seem to be a problem .",incase shells,Positive,2
"We have had numerous problems with Vista , such as Adobe Flash player just quits and has to be uninstalled and then reinsalled , Internet Explore just quits and you lose whatever you were working on , also , the same Windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .",Vista,Negative,0
"It bluescreened on me without any warning , running simply basic Chrome .",Chrome,Negative,0
"The processor went on me , the fan went and the motherboard went .",fan,Negative,0
The battery gets so HOT it is scary .,battery,Negative,0
The keyboard is too slick .,keyboard,Negative,0
It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops .,gadgets,Neutral,1
"First of all , they had no record of me having the 3 year warranty I 'd paid almost $ 400 for , and I had to call in , spend hours on their online chat service , and fax in multiple documents .",warranty,Negative,0
"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor -LRB- such as works for windows -RRB- , but iwork is cheap compared to office .",word processor,Negative,0
"The dv4 boasted a faster processor , more memory , and a bigger hard drive than my old computer , plus a better quality web cam , nicer screen , and many other features .",processor,Positive,2
Mostly I love the drag and drop feature .,drag and drop feature,Positive,2
"It had a cooling system malfunction after 10 minutes of general use , and would not move past this error .",use,Neutral,1
Registration/1st use is easy .,use,Positive,2
"Who could n't love a DVD burner , 80-gigabyte HD , and fairly new graphics chip ? As I soon discovered , though , there is a reason for which similarly-configured Sony and Toshiba machines cost more : they use higher-quality components that are faster , better-configured , and end up lasting a lot longer .",graphics chip,Positive,2
"It is easy to use , its keyboard easily accommodates large hands , and its weight is fantasic .",keyboard,Positive,2
the manufacturer 's warranty only covers replacement/repair of parts .,warranty,Negative,0
"Anyway , in early July of this year , the DVD burner stopped working , and the computer stared having issues with power supply .",DVD burner,Negative,0
"The only thing I do n't understand is that the resolution of the screen is n't high enough for some pages , such as Yahoo!Mail .",resolution of the screen,Negative,0
I think that if it is the motherboard again so soon that they should replace it .,motherboard,Negative,0
"The dv4 boasted a faster processor , more memory , and a bigger hard drive than my old computer , plus a better quality web cam , nicer screen , and many other features .",web cam,Positive,2
"It is so simple to use , I use it more than my desktop .",use,Positive,2
Good price .,price,Positive,2
Easy to start up and does not overheat as much as other laptops .,start up,Positive,2
The Aspire wont even boot past the Acer screen with a Droid -LRB- I have tried both Motorola and HTC -RRB- plugged into the USB port .,boot,Negative,0
